links,title,time,content,class
https://nltimes.nl/2023/01/01/tens-thousands-join-new-years-dives-around-netherlands,Tens of thousands join New Year’s Dives around the Netherlands,1 January 2023 - 16:28,,CultureEntertainmentWeird
https://nltimes.nl/2023/01/01/3800-fire-incidents-new-years-significant-church-school-badly-damaged,"Over 3,800 fire incidents during New Year’s; Significant church, school badly damaged",1 January 2023 - 15:54,,Crime
https://nltimes.nl/2023/01/01/vlaardingen-surpassed-hague-worst-air-quality-new-years,Vlaardingen surpassed The Hague for worst air quality on New Year’s,1 January 2023 - 13:20,,Health
https://nltimes.nl/2023/01/01/dutch-police-firefighters-repeatedly-assaulted-turbulent-new-years,"Dutch police, firefighters repeatedly assaulted during turbulent New Year’s",1 January 2023 - 12:16,,Crime
https://nltimes.nl/2023/01/01/racist-messages-projected-erasmus-bridge-rotterdam-new-years-fest,Racist messages projected on Erasmus Bridge during Rotterdam New Year’s fest,1 January 2023 - 10:53,,Crime1-1-2
https://nltimes.nl/2023/01/01/dozens-arrests-amsterdam-rotterdam-hague-new-years,"Dozens of arrests in Amsterdam, Rotterdam & The Hague during New Year’s",1 January 2023 - 09:54,,Crime1-1-2
/2023/01/08/foreign-minister-hoekstra-summons-iranian-ambassador-executions,Foreign Minister Hoekstra summons Iranian ambassador over executions,8 January 2023 - 09:45,,Politics
/2023/01/08/many-people-still-looking-alleged-nazi-treasure-near-ommeren,Many people still looking for alleged Nazi treasure near Ommeren,8 January 2023 - 09:13,,PoliticsCultureWeird
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2023/01/01/17-fireworks-victims-treated-eye-injuries-specialist-hospital,17 fireworks victims being treated for eye injuries at specialist hospital,1 January 2023 - 09:29,,1-1-2
https://nltimes.nl/2022/12/31/niesters-illusion-think-can-stop-coronavirus,Niesters: Illusion to think you can stop coronavirus,31 December 2022 - 17:10,,Health
https://nltimes.nl/2022/12/31/justice-minister-yesilgoz-crackdown-people-attack-aid-workers-new-years,Justice Minister Yesilgöz: crackdown on people who attack aid workers on New Year’s,31 December 2022 - 16:20,,Politics
https://nltimes.nl/2022/12/31/national-fireworks-rotterdam-canceled-due-bad-weather,National Fireworks in Rotterdam canceled due to bad weather,31 December 2022 - 15:26,,CultureEntertainment
https://nltimes.nl/2022/12/31/rutte-dutch-bishops-respond-death-pope-emeritus-benedict-xvi,Rutte and Dutch Bishops respond to death of Pope Emeritus Benedict XVI,31 December 2022 - 14:50,,Culture
https://nltimes.nl/2022/12/31/gas-price-close-price-beginning-year,"Gas price further down, close to price at the beginning of this year",31 December 2022 - 14:00,,PoliticsBusiness
https://nltimes.nl/2022/12/31/two-men-amsterdam-suspected-bombing-robberies-arrested-germany,Two men from Amsterdam suspected of bombing robberies arrested in Germany,31 December 2022 - 13:10,,Crime
https://nltimes.nl/2022/12/31/dutch-football-trainer-sarina-wiegman-gets-royal-honor-england-team,Dutch football trainer Sarina Wiegman gets royal honor with England team,31 December 2022 - 12:20,,Sports
https://nltimes.nl/2022/12/31/hilversum-amsterdam-cancel-fireworks-show-due-bad-weather-conditions,Hilversum and Amsterdam cancel fireworks show due to bad weather conditions,31 December 2022 - 11:23,,CultureEntertainment
https://nltimes.nl/2022/12/31/eurostar-adjusts-its-timetable-early-january-due-rail-strikes-uk,Eurostar adjusts its timetable in early January due to rail strikes in the UK,31 December 2022 - 10:40,,BusinessTech
https://nltimes.nl/2022/12/31/fireworks-frustrating-authorities-two-year-pandemic-ban,Fireworks frustrating authorities after two-year pandemic ban,31 December 2022 - 09:50,,1-1-2CultureLifestyleEntertainment
https://nltimes.nl/2022/12/31/a12-near-zoetermeer-open-work-nelson-mandela-bridge,A12 near Zoetermeer open again after work on Nelson Mandela bridge,31 December 2022 - 09:08,,TechInnovationCulture
https://nltimes.nl/2022/12/31/new-record-154-degrees-hottest-new-years-netherlands,"New record: With 15,4 degrees the hottest New Year's in the Netherlands ",31 December 2022 - 08:45,,Nature
https://nltimes.nl/2022/12/31/new-years-dive-sea-temperature-expected-7-degrees,New Year's dive sea temperature expected to be about 7 degrees,31 December 2022 - 08:00,,CultureLifestyleEntertainment
https://nltimes.nl/2022/12/31/bakers-dutch-eating-just-many-oliebollen-last-year,Bakers: Dutch eating just as many oliebollen as last year,31 December 2022 - 07:30,,CultureFood
https://nltimes.nl/2022/12/30/6-best-kept-secrets-dutch-health-insurance,These are the 6 best kept secrets of Dutch health insurance,30 December 2022 - 19:33,,HealthSponsored Content
https://nltimes.nl/2022/12/30/traditional-hague-bonfires-lit-tonight-new-years-wind,"Traditional Hague bonfires to be lit tonight, not New Year's, because of wind",30 December 2022 - 17:19,,1-1-2CultureEntertainment
https://nltimes.nl/2022/12/30/clarence-seedorf-praises-pele-social-impact-knvb-mourns-football-icon,"Clarence Seedorf praises Pelé for his social impact, KNVB mourns ""football icon""",30 December 2022 - 14:45,,Sports
